date,border,local
2023-10-14,0,438
2023-10-13,0,502
2023-10-12,0,580
2023-10-11,0,619
2023-10-10,0,618
2023-10-09,0,703
2023-10-08,0,394
2023-10-07,0,386
2023-10-06,0,496
2023-10-05,0,512
2023-10-04,0,589
2023-10-03,0,561
2023-10-02,0,640
2023-10-01,0,421
2023-09-30,0,320
2023-09-29,0,419
2023-09-28,0,430
2023-09-27,0,398
2023-09-26,0,485
2023-09-25,0,483
2023-09-24,0,329
2023-09-23,0,304
2023-09-22,0,406
2023-09-21,0,425
2023-09-20,0,483
2023-09-19,0,454
2023-09-18,0,591
2023-09-17,0,367
2023-09-16,0,301
2023-09-15,0,413
2023-09-14,0,459
2023-09-13,0,460
2023-09-12,0,460
2023-09-11,0,612
2023-09-10,0,450
2023-09-09,0,359
2023-09-08,0,427
2023-09-07,0,538
2023-09-06,0,510
2023-09-05,0,550
2023-09-04,0,642
2023-09-03,0,410
2023-09-02,0,393
2023-09-01,0,480
2023-08-31,0,534
2023-08-30,0,576
2023-08-29,0,579
2023-08-28,0,654
2023-08-27,0,383
2023-08-26,0,338
2023-08-25,0,416
2023-08-24,0,462
2023-08-23,0,510
2023-08-22,0,631
2023-08-21,0,745
2023-08-20,0,424
2023-08-19,0,333
2023-08-18,0,429
2023-08-17,0,472
2023-08-16,0,526
2023-08-15,0,575
2023-08-14,0,1181
2023-08-13,0,665
2023-08-12,0,479
2023-08-11,0,654
2023-08-10,0,748
2023-08-09,0,904
2023-08-08,0,909
2023-08-07,0,996
2023-08-06,0,541
2023-08-05,0,416
2023-08-04,0,627
2023-08-03,0,638
2023-08-02,0,726
2023-08-01,0,824
2023-07-31,0,850
2023-07-30,0,447
2023-07-29,0,348
2023-07-28,0,467
2023-07-27,0,517
2023-07-26,0,552
2023-07-25,0,607
2023-07-24,0,674
2023-07-23,0,384
2023-07-22,0,320
2023-07-21,0,402
2023-07-20,0,546
2023-07-19,0,588
2023-07-18,0,646
2023-07-17,0,864
2023-07-16,0,535
